classes,Cell ID,Nuclear volume (fL),Cellular volume (fL),Nuclear surface area (µm2),Cellular surface area (µm2),Radial proximity (unitless),Apical proximity (unitless)
Tom20,AICS-11_0_2,831.5988768,2112.703306,459.6319572,1103.737609,0.8452336,0.9645513
Tom20,AICS-11_0_3,609.1589318,1502.489995,393.8544156,997.2899509,0.8753231,-0.9686192
Tom20,AICS-11_0_4,923.7039794,2314.089684,506.1476627,1325.984399,0.8449384,0.4450679
Tom20,AICS-11_0_5,691.7406117,1912.201246,414.0710086,1089.924867,0.9938547,-1
Tom20,AICS-11_0_6,873.9440957,2331.163821,493.1487995,1333.409351,0.8182582,0.1799706
Tom20,AICS-11_1_2,773.4379738,2026.142196,433.205194,1163.724045,0.7910045,0.7750892
Tom20,AICS-11_1_3,1102.9484,3093.717883,591.5025985,1668.958836,0.935237,-0.254804
Tom20,AICS-11_1_5,1001.353887,3213.440911,627.2494459,1904.634156,0.8538709,-0.3320739
Tom20,AICS-11_2_1,764.5267711,1744.282896,442.4896914,1158.222253,0.7651076,-0.02980195
Tom20,AICS-11_2_2,1255.221127,3162.252514,628.3260798,1690.921915,0.9385302,0.5175079
Tom20,AICS-11_2_3,709.5290049,1739.113038,407.7867253,929.1960088,0.9704066,-0.4449242
Tom20,AICS-11_2_4,715.4811441,1814.892273,425.1729554,1252.079195,0.9716056,0.3033983
Tom20,AICS-11_2_5,738.7795175,1818.293495,409.2406429,1027.392869,0.9665601,0.1397547
Tom20,AICS-11_2_6,708.6106748,1743.398578,407.7143968,1034.104824,0.9280116,-0.7351434
Tom20,AICS-11_3_1,786.5666922,1917.711226,485.0000375,1287.775234,0.8778448,-0.3085762
Tom20,AICS-11_3_2,646.6063905,1832.510605,374.8071502,1093.125586,0.9254004,-0.5814543
Tom20,AICS-11_3_5,732.7593539,1837.136267,433.306076,1141.755718,0.9644136,-0.05180297
Tom20,AICS-11_3_6,636.2666744,1371.236823,390.3580849,925.8630208,0.9808068,-0.05792774
Tom20,AICS-11_3_7,779.3561007,1867.30511,483.6655826,1302.865534,0.9190267,-0.9467221
Tom20,AICS-11_4_2,762.0778909,2148.518178,475.3090731,1566.24402,0.9775357,-0.4449179
Tom20,AICS-11_4_4,555.9298013,1329.367775,370.8489252,924.2939445,0.8429929,0.6373771
Tom20,AICS-11_4_6,610.4854086,1691.155802,368.649468,1061.880529,0.9103647,-0.6714849
Tom20,AICS-11_4_7,814.626777,2372.522685,458.3724552,1553.855802,0.8814996,-0.8323865
Tom20,AICS-11_4_11,507.8365165,1355.149041,347.0651427,815.1791607,0.9061703,-0.158371
Tom20,AICS-11_5_1,1320.660646,3377.005697,647.2672144,1705.382359,0.8460175,-0.03707183
Tom20,AICS-11_5_2,446.0022933,1643.096529,302.3509304,854.6601095,0.9401134,-0.6611876
Tom20,AICS-11_5_3,664.9729914,1713.60387,394.7386284,1118.486737,0.9072793,-0.05613963
Tom20,AICS-11_5_4,649.5994662,1560.99102,385.9096219,980.419153,0.9036589,0.6507477
Tom20,AICS-11_6_1,783.6076287,2345.653028,500.048872,1358.393639,0.9431539,-0.5730879
Tom20,AICS-11_6_2,379.4403709,1593.030535,269.2946179,961.0672473,0.8479638,-0.1777692
Tom20,AICS-11_6_3,667.4558838,1800.028931,411.059982,1307.544314,0.8895289,0.9416341
Tom20,AICS-11_6_4,979.0418678,2324.701498,507.3967721,1277.038289,0.8335815,-0.1229159
Tom20,AICS-11_6_5,1017.985864,2532.176065,570.6777745,1227.627135,0.9569557,-0.395908
Tom20,AICS-11_6_6,386.889048,1573.745604,277.9527234,859.4892154,0.9372559,-0.51116
Tom20,AICS-11_6_7,618.8524157,1563.541937,380.0608841,971.5239066,0.8950081,-0.1399903
Tom20,AICS-11_6_9,720.7190266,1961.689031,412.0724755,1285.026962,0.924826,-0.6405997
Tom20,AICS-11_7_1,592.7650399,1416.847215,375.5936304,896.7562203,0.8963706,-0.4107498
Tom20,AICS-11_7_2,695.7200419,1814.314065,422.0613618,1224.976491,0.9589401,-0.3457999
Tom20,AICS-11_7_3,232.167441,1412.085504,202.0950713,790.5544155,0.941598,-1
Tom20,AICS-11_7_4,937.5469546,2479.899276,506.1216286,1469.089781,0.9863792,-0.2517028
Tom20,AICS-11_7_5,728.4738136,2034.203093,422.2899995,1415.308477,0.9203361,-0.5054363
Tom20,AICS-11_7_6,688.9516093,1817.851336,428.9355052,1244.966021,0.9646202,-0.2735516
Tom20,AICS-11_7_7,744.7656689,1483.817284,446.8555382,998.1615666,0.9203145,-0.1733436
Tom20,AICS-11_7_8,986.1844349,2705.196248,554.6742883,1603.11474,0.97464,-0.2561134
Tom20,AICS-11_8_1,603.3768538,1389.875522,378.1904217,913.4609462,0.8884977,-0.1633888
Tom20,AICS-11_8_2,656.7760454,1472.627263,411.5795082,921.3375054,0.94454,0.6699366
Tom20,AICS-11_8_3,787.1789123,1754.758661,454.1403478,985.2957081,0.9013058,0.2131426
Tom20,AICS-11_8_4,854.3530547,1540.447637,495.4913389,1004.475243,0.9293249,0.7677588
Tom20,AICS-11_8_5,498.3130938,1003.258571,339.4256193,689.9717661,0.9768218,-0.9504425
Tom20,AICS-11_8_6,673.4420352,1537.080427,409.1617009,929.820511,0.9940053,-0.3724473
Tom20,AICS-11_9_1,878.6717948,2017.775189,482.382146,1136.621341,0.790185,-0.0879636
Tom20,AICS-11_9_2,1028.155519,2583.296437,537.8178721,1351.644732,0.8732446,0.1110413
Tom20,AICS-11_9_3,890.9161955,2094.948925,484.1003932,1091.885819,0.8748875,-0.577457
Tom20,AICS-11_9_5,617.1177923,1565.310573,393.6914928,1078.733376,0.950789,-0.7586222
Tom20,AICS-11_9_6,847.6186343,2312.014939,451.9724884,1210.394275,0.8348489,-0.4739259
Tom20,AICS-11_9_7,465.2191999,1268.315833,316.310219,874.4084045,0.9249815,-0.5456559
Tom20,AICS-11_9_8,345.0880247,3329.388583,347.2936754,1463.566994,0.9979404,-0.1899942
